pmcid,paper_type,vaccine_name,vaccine_name_generated,vaccine_target_pathogen,vaccine_target_host,vaccine_model_host,vaccine_delivery_method,vaccine_manufacturer,vaccine_storage_method,vaccine_stage,vaccine_license,vaccine_antigen,vaccine_formulation,vaccine_gene
PMC4450313,full_text,,False,Brucella spp.,Humans,,,,,,,,,
PMC7833053,full_text,Brucella abortus strain 19 and RB51,False,Brucella abortus,cattle,,,,,,,smooth lipopolysaccharides (LPS),attenuated live vaccine,
PMC9681097,full_text,,False,"Brucella abortus, Brucella melitensis",Cattle,,,,,,,,,
PMC5738633,full_text,OPS-TTS99 glycoconjugate vaccine,True,"Brucella spp. (including B. abortus, B. melitensis, B. suis)","Cattle, sheep, goats, pigs, camels, and other productive animals; potential for humans",Mice (CD1),Injection (immunization protocol in mice),,Thermostable (designed for stability in adverse temperatures),research,,Modified Brucella O-polysaccharide (OPS) conjugated to tetanus toxoid,Glycoconjugate (OPS-TTS99: oxidized Brucella abortus S99 OPS conjugated to tetanus toxoid),
PMC6019614,full_text,,False,Brucella spp.,"humans, livestock",,mucosal,,,research,,,,
PMC10583465,full_text,Brucella abortus RB51,False,Brucella abortus,Cattle (Bos taurus),,Subcutaneous injection (full dose: 1.0–3.4 × 10^10 CFU; reduced dose: 1.0–3.0 × 10^9 CFU),"CZ Vaccines (Porriño, Spain); Bovilis® RB51 (MSD Animal Health)",,licensed,,Live attenuated rough mutant Brucella abortus RB51 (lacking O-polysaccharide),Live attenuated bacterial suspension,"Mutations in wboA (O-PS glycosyltransferase), capD/wbkD (epimerase/dehydratase), eipA (cell envelope homeostasis), narJ (intracellular survival), and rpoB (rifampin resistance)"
PMC7376320,full_text,"B. melitensis Rev. 1, B. abortus S19, B. abortus RB51",False,Brucella spp.,"Livestock (small ruminants, bovines)",,,,,licensed,,Live attenuated Brucella strains (O-antigen loss in RB51),Live attenuated bacterial vaccine,
PMC11292127,full_text,rBP26+CpG,True,Brucella spp.,human,mouse (C57BL/6N),subcutaneous injection,,,research,,recombinant BP26 protein,"recombinant BP26 protein mixed with CpG-ODN1826 adjuvant, suspended in PBS",bp26 gene from Brucella suis S2
PMC7227765,full_text,B. melitensis 16M ΔvjbR,False,Brucella melitensis,"sheep (ewes), goats (potential), humans (potential translation)","sheep (ewes), BALB/c mice, immunodeficient mouse models",subcutaneous injection,,,research,,live-attenuated B. melitensis 16M ΔvjbR mutant,"live-attenuated mutant (ΔvjbR) of B. melitensis 16M, prepared as bacterial suspension in PBS",vjbR (deleted/knockout mutant)
PMC7695499,full_text,"Recombinant Influenza Viral Vector (rIVV) Brucella Vaccine (e.g., Flu-NS1-80-Omp16+L7/L12+Omp19+Cu-Zn-SOD)",True,Brucella melitensis,Human,"Mouse (BALB/c), Guinea pig","Intraperitoneal (i.p.) in mice, Intranasal (i.n.) in guinea pigs","HSC Development GmbH, Austria",,research,,"Brucella immunodominant proteins: Omp16, Omp19, L7/L12, Cu-Zn SOD","Mono-, bi-, and tetravalent recombinant influenza A (H5N1) viral vectors expressing Brucella antigens inserted into the NS1 gene (80 or 124 N-terminal amino acids)",NS1 gene of influenza A virus (H5N1) with Brucella antigen inserts
PMC145300,full_text,B. abortus RB51 and B. melitensis REV.1,False,Brucella spp. (including Brucella abortus and Brucella melitensis),"cattle, goats, sheep","mice, humans",,,,licensed,,,live attenuated,
PMC3655278,full_text,,False,Brucella spp.,"humans, animals (goats, sheep, cattle, swine, dogs, dolphins, porpoises, whales, seals, desert wood rats, common voles)",mouse,"live-attenuated, subunit, recombinant bacterial/viral vectors, liposomes, polymeric particles, outer membrane vesicles",,,research,,"outer membrane proteins (Omp22, Omp25), LPS, type IV secretion system (T4SS) substrate proteins (VceA, VceC, BPE005, BPE043, BPE123, BPE275), L7/L12, P39, lipoproteins, TcpB, PrpA","live-attenuated strains, subunit antigens with adjuvants (Alum, Freund's adjuvant, CpG ODN, MPL, Poly-IC, ISCOMS, CAF10), recombinant vectors, liposomes, polymeric particles, outer membrane vesicles","virB operon, vjbR, omp22, omp25, genes encoding T4SS substrate proteins, prpA, tcpB"
PMC9074784,full_text,A19BG,False,Brucella abortus,cattle,"guinea pigs, cattle",intramuscular injection,"Tecon Biological Co., Ltd.",,research,,"main outer membrane proteins (Omp25, Omp10, Omp19, Omp28, Omp2a, Bcsp31), heat shock proteins (DnaK, GroS, GroL), LPS",bacterial ghost (BG) vaccine derived from Brucella abortus A19 strain using E-lysis gene and thermosensitive element λpR-cI857,"E-lysis gene, λpR-cI857 thermosensitive element"
PMC5583415,full_text,Brucella abortus S19,False,Brucella abortus,Cattle,"Mouse, Guinea pig",Subcutaneous or conjunctival,,,licensed,,Live attenuated Brucella abortus S19 strain,"Live vaccine, single dose of 5–8 × 10^10 viable organisms or reduced dose of 3 × 10^8 to 3 × 10^9 organisms",
PMC12124783,full_text,Brucella abortus strain 19 and strain RB51,False,Brucella abortus,Cattle,,,,,licensed,,Live attenuated Brucella abortus (strain 19 or RB51),Live attenuated bacterial vaccine,
PMC4418725,full_text,S19,False,Brucella abortus,cattle,,,Ministry of Animal Resources (Sudan),,licensed,,,live attenuated,
PMC11515988,full_text,"Multi-epitope mRNA vaccine targeting Brucella melitensis and Mycobacterium tuberculosis (H37Rv, L4 strain)",True,"Brucella melitensis and Mycobacterium tuberculosis (H37Rv, L4 strain)",Human,,"mRNA vaccine (injection, not specified)",,,research,,"Omp25, Omp31 (Brucella melitensis); MPT70, MPT83 (Mycobacterium tuberculosis H37Rv, L4 strain)","Multi-epitope mRNA vaccine including CTL, HTL, LB, and CB epitopes, adjuvant (human β-defensin 3, hBD3), linkers (AAY, GPGPG, KK, EAAAK), 5’UTR, Kozak sequence, tPA signal peptide, stop codon, 3’UTR, poly(A) tail","mRNA encoding selected epitopes from Omp25, Omp31, MPT70, MPT83, fused with hBD3 adjuvant and regulatory elements for expression"
PMC3633026,full_text,Brucella abortus RB51,False,Brucella abortus,Cattle,Mouse,"Intraperitoneal injection (IP), Subcutaneous injection (SC), Intranasal (IN), Oral (PO)",,,research,,"Whole organism (live attenuated Brucella abortus RB51), sometimes with overexpressed antigens such as Cu/Zn superoxide dismutase (SOD) and glycosyl-transferase (WboA)",Live attenuated whole-organism vaccine; sometimes recombinant with overexpressed antigens,"leuB (isopropyl malate dehydrogenase), SOD, WboA"
PMC11963304,full_text,Brucella suis S2 vaccine,False,Brucella suis,"goats, sheep, cattle, pigs",goats,oral immunization,China Veterinary Drug Supervision Institute,,licensed,,Brucella suis S2 attenuated strain,live attenuated vaccine,"1 bp deletion at 1,064,715 on chromosome II of Brucella S2 vaccine strain"
PMC7000210,full_text,wadC mutant Brucella vaccine,True,Brucella species,humans,mice,,,,research,,wadC mutant Brucella lipopolysaccharide (LPS),,wadC mannosyltransferase
PMC9807297,full_text,S2-Ag85A oral Brucella vaccine,False,Brucella,"ruminants, most mammals, humans",BALB/C mice,oral administration (gavage),"Developed independently in laboratory; S2 vaccine purchased from Qilu Animal Health Co., Ltd.",Stored at -80°C in 15% glycerol,research,,Ag85A,Live attenuated Brucella S2 strain genetically modified to express Ag85A antigen; oral DNA vaccine,Ag85A gene inserted into S2 genome using CRISPR/Cas9
PMC6411116,full_text,RB51WboAKF,False,"Brucella spp. (B. abortus, B. melitensis, B. suis)","Cattle (bovine), sheep, goats, swine",Mouse (BALB/c),Intraperitoneal injection,,,research,,O-polysaccharide (O-PS) and rough LPS from Brucella,Live attenuated recombinant Brucella abortus RB51 strain overexpressing wboA and wbkF genes,"wboA, wbkF"
PMC12622320,full_text,,False,Brucella abortus,human,mouse,,,,,,,,
PMC5112997,full_text,Brucella abortus S19,False,"Brucella spp. (including B. abortus, B. melitensis, B. ovis, B. suis, B. canis)","Cattle, sheep, goats, ruminants","Mouse (Balb/c, Swiss, C57BL/6, CD1, OF1, 129/Sv, Swiss, mixed/outbred)","Subcutaneous, intraperitoneal, intramuscular, oral/intragastric",,,licensed,,Live attenuated Brucella abortus S19 strain (smooth LPS),Live attenuated whole-cell vaccine,
PMC8724193,full_text,Apolipoprotein N-acyltransferase (Int) epitope-based vaccine,True,Brucella abortus,"Cattle, humans (zoonotic context), but tested in mice",C57BL/6 mice,Intraperitoneal injection,,,research,,Apolipoprotein N-acyltransferase (BAB1_2158) epitope (AIPYILESTPQALAH),Synthetic peptide (AIPYILESTPQALAH) in phosphate-buffered saline (PBS) with complete Freund’s adjuvant (prime) and incomplete Freund’s adjuvant (boosts),BAB1_2158
PMC5974523,full_text,Salmonella-based Brucella vaccine (ST-rB),False,Brucella abortus,"cattle, humans (potential), mice (experimental)",BALB/c mice,"oral, intramuscular (IM), intraperitoneal (IP), subcutaneous (SC)",,,research,,"Brucella antigens: lumazine synthase (BLS), proline racemase subunit A (PrpA), lipoprotein outer membrane protein-19 (Omp19), Cu-Zn superoxide dismutase (SOD), Brucella lipopolysaccharide (LPS)","Cocktail of engineered Salmonella Typhimurium strains (JOL1800) delivering recombinant Brucella antigens, combined with purified Brucella LPS","BLS, PrpA, Omp19, SOD genes cloned into pJHL65 plasmid; asd gene for plasmid maintenance; lon, cpxR, rfaL (waaL) mutations in Salmonella vector"
PMC6529653,full_text,B. abortus S19 ΔvjbR,False,Brucella abortus,Human,NOD-scid IL2rγ null mouse,Intraperitoneal injection,,,research,,,Live attenuated,ΔvjbR
PMC4495609,full_text,Brucella abortus S19,False,Brucella abortus,Cattle,"Mouse, Cattle",Intramuscular or subcutaneous injection,,,licensed,Officially approved for bovine brucellosis control,Live attenuated B. abortus biovar 1 (smooth strain),Live attenuated vaccine,
PMC11617539,full_text,S22,False,Brucella abortus,"cattle, humans",BALB/c mice,"intramuscular, intradermal, subcutaneous, intraperitoneal","GenScript (gene synthesis), Novoprotein Scientific Inc. (protein expression), Thermo Fisher Scientific Inc. (vector)",serum samples stored at -20°C; protein purity and endotoxin level confirmed,research,,"multivalent fusion protein S22 (Cu/Zn SOD, ZnMP, SH3-like domain from B. abortus 2308)","recombinant protein (S22) with adjuvant, DNA vaccine (pVS22 in pVAX vector), DNA prime-protein boost strategy","S22 gene (fusion of Cu/Zn SOD, BAB1_0270, BAB1_0267 ORFs, codon-optimized, Kozak sequence, subcloned into pVAX vector)"
PMC3043301,full_text,Brucella abortus S19,False,Brucella abortus,cattle,"mouse (CD1, BALB/c, C57BL/6, C57BL/10), rat, guinea pig, nonhuman primate",intraperitoneal injection,,,licensed,licensed for animal use (cattle),live attenuated Brucella abortus S19 strain,live attenuated bacterial vaccine,
PMC12014272,full_text,Multiepitope Chimeric Vaccine Candidate against Brucella canis,True,Brucella canis,Canis familiaris (dog),Mus musculus (mouse),,,,research,,"Six overlapping B- and T-cell epitopes from B. canis outer membrane and cytoplasmic membrane proteins (WP_004684587.1, WP_004690079.1, WP_004692008.1, WP_006133077.1), flanked by CTB (cholera toxin B subunit) and TpD adjuvant sequences","Recombinant multiepitope chimeric protein with flexible (GSGS) and rigid (EAAAK) linkers, CTB adjuvant at N-terminus, TpD adjuvant at C-terminus","Codon-optimized synthetic gene (888 bp) for expression in E. coli, cloned into pET-28a (+) vector"
PMC10413706,full_text,,False,Brucella abortus,"cattle, sheep, goats",,,,,,,Brucella abortus Lipopolysaccharide (LPS),,"BCSP31, B. abortus-specific gene (156 bp), B. melitensis-specific gene (731 bp)"
PMC6160882,full_text,S. Typhimurium-based Brucella abortus vaccine candidate,True,Brucella abortus,dog,Beagle,subcutaneous injection,,,research,,"BCSP31, Omp3b, and SOD proteins","Live, attenuated Salmonella Typhimurium strains expressing recombinant B. abortus BCSP31, Omp3b, and SOD proteins (mixture of three strains)","BCSP31, Omp3b, SOD genes from Brucella abortus"
PMC8288105,full_text,Flu-BA,False,Brucella abortus (with cross-protection against Brucella melitensis),Cattle,Cattle (Kazakh white-headed breed),Subcutaneous injection,"Research Institute for Biological Safety Problems (RIBSP), Kazakhstan; HSC Development GmbH (Tulln, Austria)","Lyophilized, stored at 4°C",licensed,"State Register of Veterinary Preparations and Feed Additives of the Ministry of Agriculture of the Republic of Kazakhstan (registration certificate No. RK-VP-1-3775-19 dated January 14, 2019)",Brucella abortus immunodominant proteins L7/L12 and Omp16 (124 N-terminal amino acids),"Bivalent formulation of influenza viral vectors (IVV) subtype H5N1 and H1N1 expressing Brucella L7/L12 and Omp16 proteins, combined with sterile stabilizing medium (12% peptone from casein, 6% sucrose), lyophilized, resuspended in 20% Montanide Gel-01 adjuvant in PBS","NS1 gene of influenza A virus (A/Puerto Rico/8/34 (H1N1)), modified to express Brucella L7/L12 (GenBank: AAA19863.1) or Omp16 (GenBank: AAA59360.1) protein sequences"
PMC11998165,full_text,MEV-Fc,False,Brucella (including B. melitensis),human,BALB/c mouse,subcutaneous injection,,,research,,"OMP16, OMP19, L7/L12, OMP25 (Brucella proteins), human beta-defensin 3 (hBD-3), PADRE sequence, mouse IgG Fc fragment","multi-epitope peptide/protein vaccine with molecular adjuvants and Fc fusion, formulated with incomplete Freund’s adjuvant (IFA)","Codon-optimized DNA sequences for OMP16, OMP19, L7/L12, OMP25, and MEV-Fc, inserted into pET-22b expression vector"
PMC10964430,full_text,Brucella abortus S19,False,"Brucella abortus, Brucella melitensis","Cattle, humans (zoonotic context)",Mouse (C57BL/6J and various transgenic strains),Subcutaneous injection,"University of Wyoming (Laramie, WY)",,licensed,,Live attenuated Brucella abortus S19 strain,"Live attenuated bacterial vaccine (2 × 10^5 CFU in 200 µL DPBS, subcutaneous)",
